sales_channel,route,AverageFlightDuration,LengthOfStay,WantsExtraBaggage,PrefSeat,WantsMeals
Internet,CKGPNH,4.83,20.91,0.21,0.07,0.21
Internet,TPEVTE,4.67,20.88,0.21,0,0.21
Internet,DACHGH,5.07,17.49,0.2,0,0.13
Internet,KTMTGG,4.75,15.26,0.21,0,0.13
Internet,AORKTM,4.75,15.19,0.21,0.01,0.07
Internet,DELSZX,5.52,13.22,0.09,0,0.09
Internet,KTMPEN,4.75,12.52,0.19,0.01,0.05
Internet,CTSMEL,8.83,12.48,0.07,0,0.05
Internet,TRZWUH,5.130000000000001,12.01,0.19,0.07,0.19
Internet,KCHMRU,7.42,11.86,0.13,0,0
Internet,JHBKTM,4.75,11.75,0.2,0.01,0.03
Internet,KBRKTM,4.75,10.95,0.21,0,0.14
Internet,BWNMEL,8.83,10.6,0.07,0.02,0.05
Internet,CKGTRZ,4.829999999999999,10.56,0.19,0,0.15
Internet,AKLKIX,7,10.54,0.07,0.02,0.04
Internet,KTMMYY,4.75,10.26,0.21,0,0
Internet,BWNKTM,4.75,10.16,0.19,0.04,0.08
Internet,TGGXIY,5,10.1,0.2,0,0.1
Internet,OOLWUH,8.83,10.08,0.11,0,0
Internet,MAAWUH,5.13,9.94,0.15,0.05,0.19
Internet,TRZXIY,5,9.93,0.17,0,0.13
Internet,COKCTU,4.72,9.28,0.18,0.02,0.03
Internet,KNOKTM,4.75,9.05,0.21,0.21,0
Internet,HGHMAA,5.07,8.85,0.15,0.02,0.1
Internet,CCUPER,5.620000000000003,8.79,0.15,0.07,0.1
Internet,MFMOOL,8.83,8.78,0.09,0.06,0.06
Internet,JEDMEL,9.5,8.42,0.11,0,0.05
Internet,SYDVTZ,8.58,8.39,0.12,0.12,0.12
Internet,BWNDEL,5.519999999999998,8.37,0.17,0,0.11
Internet,DELKCH,5.52,8.24,0.09,0,0
Internet,PEKTRZ,6.419999999999999,8.23,0.14,0.01,0.09
Internet,MAAPER,5.620000000000004,8.11,0.14,0.06,0.09
Internet,DELPNH,5.519999999999998,8.1,0.07,0.03,0.08
Internet,HYDPER,5.620000000000004,8.05,0.15,0.06,0.09
Internet,BBIPER,5.62,8.01,0.18,0.18,0.18
Internet,CTUTRZ,4.72,7.99,0.21,0,0.03
Internet,PUSSUB,6.329999999999999,7.98,0.11,0.06,0.06
Internet,PERVTZ,5.620000000000002,7.88,0.16,0.06,0.1
Internet,PVGSUB,5.330000000000003,7.73,0.15,0.05,0.06
Internet,MNLPER,5.620000000000004,7.7,0.14,0.07,0.1
Internet,COKWUH,5.13,7.7,0.19,0.1,0.19
Internet,KTMPER,5.620000000000002,7.64,0.15,0.04,0.09
Internet,HGHMYY,5.07,7.56,0.2,0.07,0
Internet,KIXKTM,7,7.5,0.07,0,0
Internet,PERTRZ,5.620000000000003,7.47,0.15,0.07,0.11
Internet,LOPXIY,5,7.3,0.1,0,0.1
Internet,BLRPER,5.620000000000003,7.26,0.13,0.04,0.09
Internet,IKALOP,8.15,7.12,0.12,0.12,0
Internet,HDYHGH,5.07,7.1,0,0,0
Internet,BDOPUS,6.329999999999999,7.05,0.14,0.04,0.04
Internet,CTUMAA,4.72,7.04,0.21,0,0
Internet,BWNHGH,5.07,7.02,0.16,0,0.04
Internet,BDOCTS,8.67,6.98,0.12,0.06,0.12
Internet,TPETRZ,4.670000000000001,6.91,0.19,0.04,0.16
Internet,COKHGH,5.069999999999995,6.84,0.13,0.02,0.09
Internet,HGHPER,5.619999999999998,6.81,0.11,0.02,0.05
Internet,KIXTRZ,7,6.81,0.11,0.03,0.09
Internet,COKPUS,6.329999999999999,6.76,0.14,0.05,0.13
Internet,CRKSYD,8.58,6.73,0.1,0.01,0.04
Internet,CKGMAA,4.83,6.73,0.21,0,0.16
Internet,BTUSYD,8.58,6.72,0.12,0.08,0.12
Internet,CTUPER,5.620000000000001,6.71,0.1,0.03,0.08
Internet,BOMSYD,8.580000000000004,6.7,0.08,0.03,0.06
Internet,GOIPER,5.62,6.67,0.14,0.06,0.09
Internet,RGNTPE,4.670000000000001,6.56,0.09,0.05,0.08
Internet,AKLKTM,4.75,6.49,0.21,0,0.04
Internet,CKGPER,5.619999999999999,6.45,0.11,0.02,0.07
Internet,CKGCOK,4.83,6.42,0.1,0,0.05
Internet,CTUKNO,4.72,6.4,0.17,0,0.08
Internet,AKLMRU,7.420000000000001,6.31,0.13,0.11,0.13
Internet,HYDOOL,8.830000000000004,6.28,0.1,0.06,0.07
Internet,PUSTRZ,6.3300000000000045,6.23,0.13,0.08,0.12
Internet,HANKTM,4.75,6.18,0.07,0,0.07
Internet,CTUOOL,8.83,6.16,0.1,0.02,0.07
Internet,CTUSBW,4.72,6.11,0.18,0.03,0.03
Internet,CEBPER,5.62,6.09,0.09,0.04,0.09
Internet,CKGSBW,4.83,6,0.21,0.05,0.05
Internet,AKLDEL,5.519999999999998,5.95,0.11,0.04,0.1
Internet,BDOOOL,8.83,5.93,0.08,0.03,0.04
Internet,KNOTPE,4.669999999999986,5.93,0.16,0.04,0.07
Internet,BDOXIY,5,5.93,0.07,0.07,0
Internet,PUSSGN,6.329999999999999,5.91,0.11,0,0.09
Internet,DELMNL,5.519999999999996,5.88,0.12,0.06,0.08
Internet,PERVTE,5.62,5.87,0,0.18,0.18
Internet,SRGTPE,4.670000000000001,5.86,0.2,0.05,0.07
Internet,CTUSUB,4.72,5.83,0.16,0.11,0.05
Internet,MAATPE,4.670000000000001,5.8,0.15,0.06,0.1
Internet,CKGTGG,4.83,5.8,0.21,0,0
Internet,BLRMEL,8.830000000000009,5.79,0.1,0.06,0.08
Internet,PERPVG,5.620000000000002,5.78,0.11,0.04,0.08
Internet,HYDWUH,5.13,5.75,0.19,0.1,0.1
Internet,HDYKTM,4.75,5.68,0.21,0,0
Internet,DACOOL,8.830000000000004,5.65,0.1,0.03,0.08
Internet,KTMMFM,4.75,5.63,0.18,0.01,0.06
Internet,CRKMEL,8.830000000000004,5.62,0.08,0.02,0.05
Internet,MAASYD,8.580000000000004,5.62,0.09,0.06,0.08
Internet,PEKPER,6.42,5.61,0.1,0.03,0.1
Internet,CSXPER,5.62,5.6,0.18,0.18,0.18
Internet,KWLPER,5.62,5.6,0.18,0.09,0.13
Internet,ICNTRZ,6.620000000000003,5.59,0.13,0.07,0.09
Internet,CKGSUB,4.83,5.55,0.21,0.08,0.08
Internet,SYDTRZ,8.58000000000001,5.55,0.1,0.05,0.09
Internet,MELTWU,8.83,5.52,0.09,0.05,0.07
Internet,CTUMYY,4.72,5.51,0.21,0.05,0.11
Internet,HGHTRZ,5.069999999999996,5.49,0.15,0.04,0.12
Internet,BTUWUH,5.13,5.46,0.19,0,0
Internet,COKKIX,7,5.46,0.1,0.03,0.05
Internet,CRKOOL,8.829999999999997,5.43,0.09,0.02,0.04
Internet,CANMEL,8.830000000000004,5.42,0.08,0.03,0.06
Internet,BWNPER,5.620000000000002,5.4,0.13,0.07,0.08
Internet,DACPER,5.620000000000002,5.4,0.18,0.02,0.11
Internet,DELMYY,5.52,5.39,0.14,0,0
Internet,AKLTPE,4.669999999999996,5.36,0.14,0.02,0.06
Internet,BOMPER,5.619999999999999,5.36,0.18,0.11,0.14
Internet,CGKHGH,5.069999999999996,5.35,0.12,0.02,0.04
Internet,COKPER,5.619999999999955,5.32,0.15,0.06,0.1
Internet,CMBPER,5.620000000000004,5.31,0.11,0.07,0.09
Internet,PERTPE,5.6199999999999655,5.3,0.14,0.04,0.07
Internet,PERSDK,5.62,5.3,0.14,0.14,0.09
Internet,MELMNL,8.829999999999979,5.29,0.08,0.04,0.06
Internet,KIXSUB,7,5.28,0.1,0.05,0.08
Internet,ICNKTM,6.620000000000001,5.26,0.1,0.03,0.05
Internet,DELSYD,8.579999999999986,5.24,0.09,0.04,0.08
Internet,KTMREP,4.75,5.23,0.15,0.06,0.12
Internet,MRUOOL,8.83,5.22,0.1,0.08,0.08
Internet,DELPER,5.620000000000004,5.21,0.13,0.04,0.09
Internet,PUSRGN,6.329999999999999,5.21,0.08,0.02,0.09
Internet,KCHKTM,4.75,5.19,0.21,0,0
Internet,CKGSIN,4.83,5.18,0.08,0.04,0
Internet,DPSMRU,7.420000000000001,5.17,0.12,0.1,0.08
Internet,MELXIY,8.830000000000005,5.16,0.08,0,0.08
Internet,IKAKIX,8.15,5.15,0.12,0,0.04
Internet,MELTRZ,8.830000000000016,5.15,0.09,0.05,0.08
Internet,CGKDEL,5.519999999999997,5.14,0.1,0.04,0.06
Internet,PERRGN,5.620000000000002,5.11,0.14,0.07,0.09
Internet,BLRSYD,8.580000000000013,5.1,0.08,0.05,0.07
Internet,MLESYD,8.58,5.07,0.1,0.08,0.1
Internet,KTMURT,4.75,5.05,0.21,0,0
Internet,PERXIY,5.619999999999998,5.04,0.15,0.03,0.04
Internet,KBRPEK,6.420000000000001,5,0.13,0.01,0.07
Internet,KBROOL,8.83,5,0.1,0.03,0.06
Internet,DELMEL,8.829999999999972,4.95,0.09,0.04,0.07
Internet,MELURT,8.83,4.94,0.07,0.01,0.04
Internet,SUBTPE,4.669999999999999,4.93,0.15,0.03,0.1
Internet,DACMEL,8.830000000000009,4.92,0.1,0.03,0.08
Internet,OOLRGN,8.830000000000005,4.92,0.09,0.05,0.08
Internet,KTMTPE,4.75,4.9,0.15,0.01,0.04
Internet,LBUPER,5.62,4.89,0.11,0.06,0.1
Internet,COKMEL,8.82999999999995,4.84,0.09,0.05,0.09
Internet,BBISYD,8.58,4.83,0.08,0.05,0.1
Internet,IKAPUS,8.15,4.83,0.08,0.04,0.08
Internet,BDOKIX,7,4.81,0.1,0.05,0.08
Internet,CANPER,5.620000000000003,4.77,0.13,0.05,0.07
Internet,OOLTRZ,8.83,4.76,0.08,0.04,0.09
Internet,DELOOL,8.830000000000005,4.75,0.07,0.03,0.08
Internet,HYDMEL,8.829999999999998,4.75,0.09,0.04,0.08
Internet,CEBOOL,8.830000000000007,4.74,0.08,0.02,0.05
Internet,CCUMEL,8.830000000000004,4.74,0.1,0.04,0.07
Internet,CCUOOL,8.830000000000005,4.74,0.1,0.03,0.05
Internet,DACSYD,8.579999999999991,4.71,0.1,0.03,0.09
Internet,IKASYD,8.580000000000009,4.71,0.1,0.05,0.08
Internet,CGKPUS,6.329999999999995,4.7,0.11,0.04,0.09
Internet,COKICN,6.620000000000003,4.7,0.11,0,0.06
Internet,KHHPER,5.619999999999999,4.7,0.13,0.1,0.1
Internet,IKAMEL,8.829999999999998,4.69,0.09,0.04,0.07
Internet,PENWUH,5.13,4.68,0.19,0.05,0.1
Internet,DELKIX,7,4.68,0.08,0.02,0.02
Internet,KCHXIY,5,4.67,0.16,0.03,0.07
Internet,DPSIKA,8.15,4.66,0.12,0.06,0.12
Internet,CKGOOL,8.83,4.64,0.08,0.03,0.08
Internet,PERPUS,6.329999999999995,4.62,0.12,0.04,0.07
Internet,KNOSYD,8.580000000000014,4.61,0.09,0.04,0.06
Internet,MELMRU,8.830000000000002,4.57,0.11,0.07,0.08
Internet,OOLPEK,8.830000000000005,4.56,0.07,0.03,0.04
Internet,MAAPVG,5.33,4.54,0.04,0,0.11
Internet,CNXPER,5.620000000000003,4.54,0.11,0.1,0.08
Internet,OOLPNH,8.830000000000004,4.52,0.08,0.05,0.05
Internet,PEKRGN,6.419999999999999,4.52,0,0,0
Internet,TWUXIY,5,4.51,0.11,0.06,0.06
Internet,MAAMEL,8.830000000000009,4.51,0.09,0.05,0.07
Internet,KTMSYD,8.579999999999998,4.5,0.1,0.04,0.08
Internet,AKLPVG,5.33,4.5,0.19,0,0.06
Internet,KCHPER,5.619999999999978,4.5,0.12,0.08,0.06
Internet,MNLOOL,8.829999999999997,4.49,0.07,0.05,0.05
Internet,MELVTZ,8.829999999999997,4.45,0.1,0.05,0.09
Internet,HDYPER,5.619999999999999,4.45,0.13,0.08,0.08
Internet,MFMPER,5.620000000000002,4.44,0.1,0.04,0.08
Internet,OOLPUS,8.83,4.42,0.08,0.05,0.07
Internet,CGKCTU,4.72,4.41,0.15,0.07,0.08
Internet,CNXKIX,7,4.41,0.1,0.04,0.03
Internet,BOMMEL,8.83,4.4,0.08,0.01,0.06
Internet,SBWXIY,5,4.4,0.1,0,0
Internet,SGNXIY,5,4.4,0,0,0
Internet,OOLTPE,8.830000000000007,4.38,0.09,0.03,0.07
Internet,IKAPER,8.149999999999993,4.38,0.1,0.04,0.07
Internet,KHHMEL,8.83,4.38,0.1,0.04,0.08
Internet,HYDSYD,8.579999999999973,4.37,0.1,0.06,0.07
Internet,ICNIKA,8.150000000000002,4.37,0.11,0.05,0.11
Internet,SUBXIY,5,4.36,0.13,0,0.04
Internet,SYDTWU,8.58,4.35,0.12,0.08,0.1
Internet,CANSYD,8.58,4.34,0.09,0.04,0.06
Internet,CTUKCH,4.72,4.33,0.15,0.07,0.07
Internet,CEBMEL,8.83000000000001,4.33,0.09,0.04,0.06
Internet,IKAOOL,8.830000000000002,4.32,0.1,0.05,0.08
Internet,KNOPER,5.620000000000002,4.32,0.13,0.06,0.1
Internet,MAAMRU,7.420000000000001,4.29,0.1,0.02,0.08
Internet,PERUTP,5.620000000000002,4.29,0.05,0.07,0.03
Internet,DELKNO,5.519999999999998,4.28,0.15,0.03,0.07
Internet,KIXMAA,7,4.27,0.11,0.06,0.09
Internet,BDOHGH,5.069999999999998,4.27,0.17,0,0.15
Internet,COKSYD,8.57999999999995,4.26,0.1,0.05,0.09
Internet,MYYOOL,8.830000000000004,4.26,0.1,0.09,0.05
Internet,KIXMYY,7,4.26,0.11,0.05,0.08
Internet,AKLICN,6.620000000000004,4.23,0.11,0.03,0.08
Internet,PNHSYD,8.580000000000013,4.21,0.08,0.04,0.04
Internet,ICNPER,6.619999999999951,4.21,0.11,0.03,0.07
Internet,CEBSYD,8.58,4.2,0.09,0.05,0.03
Internet,MELWUH,8.83,4.19,0,0,0
Internet,MELVTE,8.83,4.19,0.11,0,0
Internet,HKGPER,5.620000000000004,4.19,0.11,0.05,0.07
Internet,KTMSIN,4.75,4.17,0.13,0.05,0.05
Internet,CKGMEL,8.83,4.17,0.09,0,0.02
Internet,COKOOL,8.829999999999995,4.17,0.09,0.04,0.08
Internet,DMKKTM,4.75,4.16,0.11,0.02,0.02
Internet,PERPNH,5.619999999999992,4.14,0.12,0.06,0.07
Internet,CCUSYD,8.580000000000014,4.13,0.09,0.05,0.08
Internet,HANPER,5.620000000000002,4.11,0.11,0.04,0.06
Internet,HKGSYD,8.580000000000018,4.11,0.07,0.04,0.06
Internet,DELDMK,5.519999999999998,4.11,0.07,0.02,0.02
Internet,HANSYD,8.58,4.11,0.08,0.03,0.04
Internet,CTUSYD,8.580000000000004,4.07,0.08,0.02,0.05
Internet,KLOMEL,8.830000000000004,4.06,0.08,0.04,0.06
Internet,MELPUS,8.829999999999997,4.02,0.08,0.03,0.06
Internet,PERSZX,5.620000000000001,4.01,0.13,0.04,0.11
Internet,BWNCKG,4.83,4,0.21,0.01,0.01
Internet,DPSKTM,4.75,4,0.13,0.03,0.05
Internet,BTUPER,5.620000000000003,3.98,0.11,0.06,0.07
Internet,CTUSIN,4.72,3.96,0.06,0.02,0.04
Internet,JEDMNL,9.5,3.95,0.11,0.05,0.05
Internet,CNXMEL,8.829999999999998,3.95,0.06,0.04,0.05
Internet,SUBSYD,8.58,3.95,0.11,0.03,0.04
Internet,GOIOOL,8.83,3.94,0.08,0.02,0.07
Internet,ICNRGN,6.620000000000002,3.94,0.08,0.02,0.05
Internet,MAAOOL,8.829999999999997,3.94,0.08,0.04,0.08
Internet,CKGSYD,8.58,3.94,0.12,0.02,0.07
Internet,JHBSYD,8.58,3.93,0.09,0.05,0.08
Internet,SGNSYD,8.579999999999947,3.93,0.09,0.04,0.05
Internet,ICNOOL,8.829999999999986,3.92,0.08,0.04,0.06
Internet,PERSGN,5.619999999999956,3.89,0.12,0.05,0.06
Internet,HGHMEL,8.830000000000005,3.88,0.09,0.01,0.06
Internet,CTUMEL,8.830000000000004,3.87,0.07,0.02,0.04
Internet,SINWUH,5.129999999999999,3.86,0.13,0.04,0.08
